collection_timestamp,collection_time_npt,data_source,record_id,market_open,collection_method,market_schedule,contractid,stocksymbol,buyermemberid,sellermemberid,contractquantity,contractrate,contractamount,businessdate,tradebookid,stockid,buyerbrokername,sellerbrokername,tradetime,securityname,securityid,symbol,indexid,totaltradequantity,lasttradedprice,percentagechange,previousclose,closeprice,openprice,highprice,lowprice,totaltradevalue,lastupdateddatetime,lasttradedvolume,averagetradedprice,total_turnover_rs:,total_traded_shares,total_transactions,total_scrips_traded,total_market_capitalization_rs:,total_float_market_capitalization_rs:,ltp,cp,pointchange,sensitive_index,nepse_index,float_index,sensitive_float_index,supplylist,demandlist,total_endpoints_collected,endpoints_collected,github_run_number
2025-09-19T12:41:12.764063+05:45,2025-09-19 12:41:12,floorsheet,floorsheet_1,True,cloud_automated,Friday - Trading Hours: 11:00 AM - 1:00 PM NPT,2025091805002197.0,BBC,43,84,10.0,4566.1,45661.0,2025-09-18,166001220.0,156.0,South Asian Bulls Pvt. Ltd.,MILKY WAY SHARE BROKER COMPANY LTD ,2025-09-18T12:06:09.401732,Bishal Bazar Company Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"floorsheet, price_volume, live_market, summary, top_gainers, top_losers, nepse_index, supply_demand",1156
2025-09-19T12:41:12.764063+05:45,2025-09-19 12:41:12,floorsheet,floorsheet_2,True,cloud_automated,Friday - Trading Hours: 11:00 AM - 1:00 PM NPT,2025091804002342.0,MHNL,58,62,80.0,235.3,18824.0,2025-09-18,166001218.0,2811.0,Naasa Securities Co. Ltd.,Capital Max Securities Ltd,2025-09-18T12:06:09.290565,Mountain Hydro Nepal Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"floorsheet, price_volume, live_market, summary, top_gainers, top_losers, nepse_index, supply_demand",1156
2025-09-19T12:41:12.764063+05:45,2025-09-19 12:41:12,floorsheet,floorsheet_3,True,cloud_automated,Friday - Trading Hours: 11:00 AM - 1:00 PM NPT,2025091805002196.0,RNLI,29,36,12.0,424.0,5088.0,2025-09-18,166001216.0,9199.0,Trisul Securities & Invt. Ltd.,Secured Securities Ltd.,2025-09-18T12:06:09.260209,Reliable Nepal Life Insurance Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"floorsheet, price_volume, live_market, summary, top_gainers, top_losers, nepse_index, supply_demand",1156
2025-09-19T12:41:12.764063+05:45,2025-09-19 12:41:12,floorsheet,floorsheet_4,True,cloud_automated,Friday - Trading Hours: 11:00 AM - 1:00 PM NPT,2025091804002341.0,RADHI,57,65,100.0,709.0,70900.0,2025-09-18,166001215.0,2776.0,Aryatara Investment & Securities,Sharepro Securities Private Limited,2025-09-18T12:06:09.247465,Radhi Bidyut Company Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"floorsheet, price_volume, live_market, summary, top_gainers, top_losers, nepse_index, supply_demand",1156
2025-09-19T12:41:12.764063+05:45,2025-09-19 12:41:12,floorsheet,floorsheet_5,True,cloud_automated,Friday - Trading Hours: 11:00 AM - 1:00 PM NPT,2025091805002195.0,BHL,14,86,20.0,167.0,3340.0,2025-09-18,166001212.0,8055.0,Nepal Stock House (PVT) Ltd.,Stoxkarts Securities Limited,2025-09-18T12:06:09.052496,Balephi Hydropower Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"floorsheet, price_volume, live_market, summary, top_gainers, top_losers, nepse_index, supply_demand",1156
2025-09-19T12:41:12.764063+05:45,2025-09-19 12:41:12,floorsheet,floorsheet_6,True,cloud_automated,Friday - Trading Hours: 11:00 AM - 1:00 PM NPT,2025091804002340.0,SPDL,48,16,800.0,362.4,289920.0,2025-09-18,166001210.0,2759.0,Trishakti Securities Public Limited,Primo Securities (PVT) Ltd.,2025-09-18T12:06:09.016499,Synergy Power Development Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"floorsheet, price_volume, live_market, summary, top_gainers, top_losers, nepse_index, supply_demand",1156
2025-09-19T12:41:12.764063+05:45,2025-09-19 12:41:12,floorsheet,floorsheet_7,True,cloud_automated,Friday - Trading Hours: 11:00 AM - 1:00 PM NPT,2025091803001111.0,NFS,58,49,10.0,605.0,6050.0,2025-09-18,166001208.0,194.0,Naasa Securities Co. Ltd.,Online Securities Pvt. Ltd.,2025-09-18T12:06:09.009009,Nepal Finance Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"floorsheet, price_volume, live_market, summary, top_gainers, top_losers, nepse_index, supply_demand",1156
2025-09-19T12:41:12.764063+05:45,2025-09-19 12:41:12,floorsheet,floorsheet_8,True,cloud_automated,Friday - Trading Hours: 11:00 AM - 1:00 PM NPT,2025091801001785.0,KBL,48,57,160.0,179.0,28640.0,2025-09-18,166001206.0,142.0,Trishakti Securities Public Limited,Aryatara Investment & Securities,2025-09-18T12:06:08.964611,Kumari Bank Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"floorsheet, price_volume, live_market, summary, top_gainers, top_losers, nepse_index, supply_demand",1156
2025-09-19T12:41:12.764063+05:45,2025-09-19 12:41:12,floorsheet,floorsheet_9,True,cloud_automated,Friday - Trading Hours: 11:00 AM - 1:00 PM NPT,2025091804002339.0,SHL,58,25,100.0,489.9,48990.0,2025-09-18,166001205.0,147.0,Naasa Securities Co. Ltd.,Sweta Securities Private Limited,2025-09-18T12:06:08.868225,Soaltee Hotel Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"floorsheet, price_volume, live_market, summary, top_gainers, top_losers, nepse_index, supply_demand",1156
2025-09-19T12:41:12.764063+05:45,2025-09-19 12:41:12,floorsheet,floorsheet_10,True,cloud_automated,Friday - Trading Hours: 11:00 AM - 1:00 PM NPT,2025091804002338.0,BPCL,59,1,50.0,727.1,36355.0,2025-09-18,166001202.0,153.0,Deevyaa Securities & Stock House Pvt. Ltd,Kumari Securities Private Limited,2025-09-18T12:06:08.857213,Butwal Power Company Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"floorsheet, price_volume, live_market, summary, top_gainers, top_losers, nepse_index, supply_demand",1156
