collection_timestamp,collection_time_npt,data_source,record_id,market_open,collection_method,market_schedule,contractid,stocksymbol,buyermemberid,sellermemberid,contractquantity,contractrate,contractamount,businessdate,tradebookid,stockid,buyerbrokername,sellerbrokername,tradetime,securityname,securityid,symbol,indexid,totaltradequantity,lasttradedprice,percentagechange,previousclose,closeprice,openprice,highprice,lowprice,totaltradevalue,lastupdateddatetime,lasttradedvolume,averagetradedprice,total_turnover_rs:,total_traded_shares,total_transactions,total_scrips_traded,ltp,cp,pointchange,sensitive_float_index,sensitive_index,float_index,nepse_index,supplylist,demandlist,total_endpoints_collected,endpoints_collected,github_run_number
2025-09-28T11:17:00.061811+05:45,2025-09-28 11:17:00,floorsheet,floorsheet_1,True,cloud_automated,Sunday - Trading Hours: 11:00 AM - 3:00 PM NPT,2025092801001465.0,HIMSTAR,,,10.0,701.0,7010.0,2025-09-28,166530190.0,9270.0,,,2025-09-28T11:15:13.702858,Him Star Urja Company Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"floorsheet, price_volume, live_market, summary, top_gainers, top_losers, nepse_index, supply_demand",1253
2025-09-28T11:17:00.061811+05:45,2025-09-28 11:17:00,floorsheet,floorsheet_2,True,cloud_automated,Sunday - Trading Hours: 11:00 AM - 3:00 PM NPT,2025092804000511.0,BARUN,,,1000.0,330.7,330700.0,2025-09-28,166530188.0,686.0,,,2025-09-28T11:15:13.66298,Barun Hydropower Co. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"floorsheet, price_volume, live_market, summary, top_gainers, top_losers, nepse_index, supply_demand",1253
2025-09-28T11:17:00.061811+05:45,2025-09-28 11:17:00,floorsheet,floorsheet_3,True,cloud_automated,Sunday - Trading Hours: 11:00 AM - 3:00 PM NPT,2025092804000510.0,BARUN,,,990.0,328.0,324720.0,2025-09-28,166530186.0,686.0,,,2025-09-28T11:15:13.66292,Barun Hydropower Co. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"floorsheet, price_volume, live_market, summary, top_gainers, top_losers, nepse_index, supply_demand",1253
2025-09-28T11:17:00.061811+05:45,2025-09-28 11:17:00,floorsheet,floorsheet_4,True,cloud_automated,Sunday - Trading Hours: 11:00 AM - 3:00 PM NPT,2025092804000509.0,UNHPL,,,1000.0,482.0,482000.0,2025-09-28,166530184.0,2831.0,,,2025-09-28T11:15:13.339546,Union Hydropower Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"floorsheet, price_volume, live_market, summary, top_gainers, top_losers, nepse_index, supply_demand",1253
2025-09-28T11:17:00.061811+05:45,2025-09-28 11:17:00,floorsheet,floorsheet_5,True,cloud_automated,Sunday - Trading Hours: 11:00 AM - 3:00 PM NPT,2025092804000508.0,UNHPL,,,160.0,482.0,77120.0,2025-09-28,166530182.0,2831.0,,,2025-09-28T11:15:13.339273,Union Hydropower Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"floorsheet, price_volume, live_market, summary, top_gainers, top_losers, nepse_index, supply_demand",1253
2025-09-28T11:17:00.061811+05:45,2025-09-28 11:17:00,floorsheet,floorsheet_6,True,cloud_automated,Sunday - Trading Hours: 11:00 AM - 3:00 PM NPT,2025092801001464.0,HIMSTAR,,,10.0,701.0,7010.0,2025-09-28,166530180.0,9270.0,,,2025-09-28T11:15:11.252,Him Star Urja Company Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"floorsheet, price_volume, live_market, summary, top_gainers, top_losers, nepse_index, supply_demand",1253
2025-09-28T11:17:00.061811+05:45,2025-09-28 11:17:00,floorsheet,floorsheet_7,True,cloud_automated,Sunday - Trading Hours: 11:00 AM - 3:00 PM NPT,2025092805000610.0,SIKLES,,,500.0,657.0,328500.0,2025-09-28,166530179.0,8126.0,,,2025-09-28T11:15:11.097698,Sikles Hydropower Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"floorsheet, price_volume, live_market, summary, top_gainers, top_losers, nepse_index, supply_demand",1253
2025-09-28T11:17:00.061811+05:45,2025-09-28 11:17:00,floorsheet,floorsheet_8,True,cloud_automated,Sunday - Trading Hours: 11:00 AM - 3:00 PM NPT,2025092805000609.0,MMKJL,,,80.0,688.5,55080.0,2025-09-28,166530177.0,9217.0,,,2025-09-28T11:15:10.714599,Mathillo Mailun Khola Jalvidhyut Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"floorsheet, price_volume, live_market, summary, top_gainers, top_losers, nepse_index, supply_demand",1253
2025-09-28T11:17:00.061811+05:45,2025-09-28 11:17:00,floorsheet,floorsheet_9,True,cloud_automated,Sunday - Trading Hours: 11:00 AM - 3:00 PM NPT,2025092805000608.0,MMKJL,,,20.0,688.5,13770.0,2025-09-28,166530174.0,9217.0,,,2025-09-28T11:15:10.714508,Mathillo Mailun Khola Jalvidhyut Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"floorsheet, price_volume, live_market, summary, top_gainers, top_losers, nepse_index, supply_demand",1253
2025-09-28T11:17:00.061811+05:45,2025-09-28 11:17:00,floorsheet,floorsheet_10,True,cloud_automated,Sunday - Trading Hours: 11:00 AM - 3:00 PM NPT,2025092803000195.0,MNBBL,,,50.0,463.9,23195.0,2025-09-28,166530173.0,474.0,,,2025-09-28T11:15:10.435779,Muktinath Bikas Bank Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"floorsheet, price_volume, live_market, summary, top_gainers, top_losers, nepse_index, supply_demand",1253
